true_value,predicted_value,residual,absolute_error
1.284,-2.0347318126693748,3.318731812669375,3.318731812669375
0.194,-2.0404416136073924,2.2344416136073924,2.2344416136073924
-1.428,0.2166430018971653,-1.6446430018971654,1.6446430018971654
1.186,-0.3317911063766409,1.5177911063766407,1.5177911063766407
1.173,-0.252408714678989,1.425408714678989,1.425408714678989
1.033,-0.3527990310328521,1.385799031032852,1.385799031032852
2.346,0.9914842394664516,1.3545157605335485,1.3545157605335485
-2.016,-0.6751713632916504,-1.3408286367083495,1.3408286367083495
1.094,-0.2299803427971194,1.3239803427971195,1.3239803427971195
0.303,-0.9339225978033532,1.2369225978033531,1.2369225978033531
0.271,-0.9360052102320257,1.2070052102320257,1.2070052102320257
-0.13,-1.1472382475359293,1.0172382475359294,1.0172382475359294
1.002,0.0132670813859642,0.9887329186140358,0.9887329186140358
-2.896,-3.877528484125608,0.981528484125608,0.981528484125608
-0.096,-0.967150496463706,0.8711504964637061,0.8711504964637061
1.07,0.2096168131864125,0.8603831868135875,0.8603831868135875
-1.184,-2.039720583658897,0.8557205836588972,0.8557205836588972
-1.898,-1.0495415942621995,-0.8484584057378002,0.8484584057378002
-1.886,-1.0500354651059594,-0.8359645348940405,0.8359645348940405
-0.717,-1.5505856294186915,0.8335856294186917,0.8335856294186917
-1.087,-0.2593784656330683,-0.8276215343669316,0.8276215343669316
0.669,-0.1434677770537021,0.8124677770537022,0.8124677770537022
0.08,-0.7245166953460637,0.8045166953460636,0.8045166953460636
0.052,0.8282339423085597,-0.7762339423085597,0.7762339423085597
-0.401,-1.1768888315290629,0.7758888315290626,0.7758888315290626
-2.642,-1.892386768328568,-0.7496132316714319,0.7496132316714319
0.567,-0.1812530430649447,0.7482530430649447,0.7482530430649447
-2.193,-1.45508706473899,-0.7379129352610101,0.7379129352610101
-2.148,-1.4248346602896085,-0.7231653397103917,0.7231653397103917
0.766,0.0526880061832013,0.7133119938167987,0.7133119938167987
0.52,-0.1823690238040666,0.7023690238040666,0.7023690238040666
-1.016,-1.7138063494489368,0.6978063494489368,0.6978063494489368
-0.689,-1.3794589273957882,0.6904589273957883,0.6904589273957883
-2.502,-1.8159232317803389,-0.6860767682196611,0.6860767682196611
-0.726,-0.0447115322332996,-0.6812884677667004,0.6812884677667004
1.261,0.5824647295033503,0.6785352704966496,0.6785352704966496
-1.645,-2.318521781780487,0.673521781780487,0.673521781780487
-0.651,-1.322691226247905,0.6716912262479049,0.6716912262479049
0.404,1.0738167873490152,-0.6698167873490152,0.6698167873490152
0.539,-0.1246594168914259,0.663659416891426,0.663659416891426
-1.039,-0.3768860487799951,-0.6621139512200047,0.6621139512200047
0.358,-0.3040884418403299,0.6620884418403299,0.6620884418403299
0.347,-0.3140375416391162,0.6610375416391161,0.6610375416391161
-0.18,0.480087406362975,-0.6600874063629749,0.6600874063629749
1.151,0.504458692421345,0.646541307578655,0.646541307578655
1.295,0.6540255902360644,0.6409744097639355,0.6409744097639355
-0.854,-0.2163051900601648,-0.6376948099398352,0.6376948099398352
0.563,-0.0608222853918918,0.6238222853918918,0.6238222853918918
-0.887,-1.5080622823676588,0.6210622823676588,0.6210622823676588
1.764,1.1485115560095165,0.6154884439904837,0.6154884439904837
0.479,-0.133880230527264,0.612880230527264,0.612880230527264
1.543,0.9318577331668848,0.6111422668331152,0.6111422668331152
-0.017,-0.6269571227709302,0.6099571227709302,0.6099571227709302
1.74,1.1368155203423338,0.6031844796576662,0.6031844796576662
0.907,0.3064063197196218,0.6005936802803782,0.6005936802803782
1.023,0.4227640499261329,0.600235950073867,0.600235950073867
-1.342,-0.7628037568890891,-0.579196243110911,0.579196243110911
-2.397,-1.8235735684277352,-0.5734264315722646,0.5734264315722646
0.914,0.3418059763261448,0.5721940236738552,0.5721940236738552
-2.202,-1.6330071153991057,-0.5689928846008945,0.5689928846008945
-3.024,-2.456720454156561,-0.5672795458434385,0.5672795458434385
-1.725,-2.28634827798744,0.5613482779874399,0.5613482779874399
-2.621,-2.0621999890647422,-0.5588000109352578,0.5588000109352578
1.609,1.053831391775966,0.5551686082240339,0.5551686082240339
-1.693,-1.1455588257164475,-0.5474411742835525,0.5474411742835525
0.02,-0.5160269047730688,0.5360269047730688,0.5360269047730688
-2.494,-3.027552682693021,0.5335526826930206,0.5335526826930206
-2.839,-3.365547079137611,0.526547079137611,0.526547079137611
1.343,0.8185430904893121,0.5244569095106879,0.5244569095106879
0.35,-0.1706723653384358,0.5206723653384357,0.5206723653384357
-1.652,-1.131354773737331,-0.5206452262626688,0.5206452262626688
0.709,0.1891526374481109,0.519847362551889,0.519847362551889
-0.626,-0.1070092148663628,-0.5189907851336372,0.5189907851336372
1.125,0.6067108569988,0.5182891430012,0.5182891430012
-0.624,-1.14153407025836,0.5175340702583601,0.5175340702583601
-0.583,-1.0982069354504067,0.5152069354504067,0.5152069354504067
-0.757,-1.2691263368706878,0.5121263368706878,0.5121263368706878
0.018,-0.4903512108064338,0.5083512108064339,0.5083512108064339
1.08,0.5740436205730124,0.5059563794269877,0.5059563794269877
0.778,0.2788025478656644,0.4991974521343356,0.4991974521343356
-0.409,-0.90377843210911,0.49477843210911,0.49477843210911
0.344,-0.144126342373023,0.488126342373023,0.488126342373023
-2.601,-2.113475191153081,-0.4875248088469188,0.4875248088469188
1.037,0.5535372407467889,0.483462759253211,0.483462759253211
1.056,0.5789541639973508,0.4770458360026492,0.4770458360026492
-0.987,-0.5163606615034748,-0.4706393384965252,0.4706393384965252
-2.465,-1.995559111103416,-0.4694408888965837,0.4694408888965837
-0.766,-0.2991482868056936,-0.4668517131943064,0.4668517131943064
-1.534,-1.072964610148158,-0.461035389851842,0.461035389851842
1.294,0.8332577808311677,0.4607422191688323,0.4607422191688323
-0.887,-1.3471741663543584,0.4601741663543583,0.4601741663543583
-1.725,-1.2652737853195206,-0.4597262146804795,0.4597262146804795
0.725,0.2687170080152262,0.4562829919847737,0.4562829919847737
1.581,1.125512389278781,0.4554876107212189,0.4554876107212189
-0.225,0.2280755832688348,-0.4530755832688348,0.4530755832688348
0.739,0.2861446440208567,0.4528553559791433,0.4528553559791433
0.005,-0.4468609980343142,0.4518609980343142,0.4518609980343142
0.995,1.4425359860579758,-0.4475359860579758,0.4475359860579758
0.188,0.6354238643755078,-0.4474238643755078,0.4474238643755078
1.001,0.5552461728077281,0.4457538271922717,0.4457538271922717
-1.12,-0.6833661239953575,-0.4366338760046426,0.4366338760046426
0.412,-0.0229151544493765,0.4349151544493765,0.4349151544493765
1.11,0.6780600282324409,0.4319399717675591,0.4319399717675591
1.217,0.7862353490658003,0.4307646509341998,0.4307646509341998
1.118,0.6883571549878764,0.4296428450121237,0.4296428450121237
-0.678,-1.1060539271469645,0.4280539271469642,0.4280539271469642
-2.795,-2.3697445352592155,-0.4252554647407844,0.4252554647407844
0.812,1.2360273385382363,-0.4240273385382365,0.4240273385382365
0.546,0.1220788239015305,0.4239211760984695,0.4239211760984695
0.104,0.5274850539942633,-0.4234850539942633,0.4234850539942633
1.167,0.7441249936746053,0.4228750063253947,0.4228750063253947
-0.387,0.0229333776341104,-0.4099333776341105,0.4099333776341105
-2.053,-1.6435303428683703,-0.4094696571316296,0.4094696571316296
-0.447,-0.8540477833850437,0.4070477833850437,0.4070477833850437
-0.614,-0.2093912002517259,-0.4046087997482741,0.4046087997482741
-0.755,-0.3516461075563825,-0.4033538924436175,0.4033538924436175
